publishedAt,title,body,rating,author,useful
2018-12-10T16:27:28+0100,Great wintercoat,,5,"{'country': 'NL', 'authorId': 7231251, 'firstname': 'Michelle', 'gender': 'Man', 'age': '30-39', 'countryLabel': 'Nederland'}",True
2018-12-03T15:50:41+0100,top parka,,5,"{'country': 'NL', 'authorId': 7211690, 'firstname': 'Frank', 'gender': 'Man', 'age': '60 of ouder', 'countryLabel': 'Nederland'}",True
2023-04-01T15:26:43+0200,Prima jas en echt winddicht gebruik voor buiten pa,,5,"{'country': 'NL', 'authorId': 14316685, 'firstname': 'Coree', 'countryLabel': 'Nederland'}",True
2023-03-05T12:11:15+0100,Goede softshell en warme,,5,"{'country': 'NL', 'authorId': 13757825, 'firstname': 'Lorena Andrea', 'countryLabel': 'Nederland'}",True
2023-02-22T22:42:48+0100,Prima prijs kwaliteit,,4,"{'country': 'NL', 'authorId': 10785085, 'firstname': 'steven', 'countryLabel': 'Nederland'}",True
2023-01-29T20:49:45+0100,Prima jas voor een prima prijs,,5,"{'country': 'NL', 'authorId': 14232456, 'firstname': 'Jacky', 'countryLabel': 'Nederland'}",True
2023-01-19T20:10:16+0100,Fijne lichte jas.,,5,"{'country': 'NL', 'authorId': 14251679, 'firstname': 'Eelco', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-12-07T19:35:31+0100,Very good,,5,"{'country': 'NL', 'authorId': 14133872, 'firstname': 'F. F.', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-12-05T09:00:54+0100,Perfect,,5,"{'country': 'NL', 'authorId': 11991711, 'firstname': 'Bert', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2022-11-14T10:45:21+0100,Lekkere jas,,4,"{'country': 'NL', 'authorId': 9496171, 'firstname': 'Danny', 'countryLabel': 'Nederland'}",True
2022-03-31T19:47:25+0200,Prima jas voor een klein prijsje,,5,"{'country': 'NL', 'authorId': 13405360, 'firstname': 'Loek', 'countryLabel': 'Nederland'}",True
2021-12-06T09:36:27+0100,Waterdicht en warm,,5,"{'country': 'NL', 'authorId': 12992014, 'firstname': 'Erwin', 'countryLabel': 'Nederland'}",True
2021-11-22T09:31:06+0100,Prima,,5,"{'country': 'NL', 'authorId': 8349904, 'firstname': 'Bas', 'countryLabel': 'Nederland'}",True
2021-11-15T09:30:19+0100,Warm maar niet te.,,5,"{'country': 'NL', 'authorId': 12980030, 'firstname': 'Dave', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2021-11-12T08:46:36+0100,Warme jas,,5,"{'country': 'NL', 'authorId': 12978078, 'firstname': 'Bilal', 'countryLabel': 'Nederland'}",True
2021-11-11T09:28:55+0100,Super jas,,4,"{'country': 'NL', 'authorId': 12976461, 'firstname': 'Jian', 'gender': 'Vrouw', 'countryLabel': 'Nederland'}",True
2023-03-06T08:36:40+0100,Perfecte jas,,4,"{'country': 'NL', 'authorId': 14366080, 'firstname': 'Klaas', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
2023-02-24T08:16:04+0100,Het artikel is perfect zoals het  aanbevolen wordt,,5,"{'country': 'NL', 'authorId': 14298179, 'firstname': 'M', 'countryLabel': 'Nederland'}",True
2023-02-21T19:22:34+0100,goede jas zit lekker maat klopt erg warm,,5,"{'country': 'NL', 'authorId': 10101537, 'firstname': 'Nico', 'countryLabel': 'Nederland'}",True
2023-02-11T19:02:02+0100,Voir dat geld een ontzettend fijne jas,,5,"{'country': 'NL', 'authorId': 13479289, 'firstname': 'Emmy', 'countryLabel': 'Nederland'}",True
2023-02-06T09:08:31+0100,fijne jas,,5,"{'country': 'NL', 'authorId': 14297944, 'firstname': 'Ben', 'gender': 'Man', 'age': '60 of ouder', 'countryLabel': 'Nederland'}",True
2023-01-13T16:08:38+0100,Fijne warme lekkere winterjas,,5,"{'country': 'NL', 'authorId': 6857993, 'firstname': 'Galid', 'countryLabel': 'Nederland'}",True
2022-12-22T18:18:47+0100,"Echt een top jas, boven verwachting!!!",,5,"{'country': 'NL', 'authorId': 13119487, 'firstname': 'Lars', 'countryLabel': 'Nederland'}",True
2022-12-07T21:21:01+0100,"fijne jas, voor weer en wind",,5,"{'country': 'NL', 'authorId': 13000811, 'firstname': 'Ronald', 'countryLabel': 'Nederland'}",True
2023-04-11T11:33:17+0200,Goede jas voor deze prijs,,4,"{'country': 'NL', 'authorId': 14432456, 'firstname': 'Richard', 'gender': 'Man', 'countryLabel': 'Nederland'}",True
